category,price
Academic,13.12
Add a comment,35.796417910447765
Adult Fiction,15.36
Art,38.52
Autobiography,37.053333333333335
Biography,33.662
Business,32.46
Childrens,32.638275862068966
Christian,42.49666666666666
Christian Fiction,34.385
Classics,36.54526315789474
Contemporary,36.199999999999996
Crime,10.97
Cultural,36.58
Default,34.39269736842105
Erotica,19.19
Fantasy,39.59395833333333
Fiction,36.06661538461538
Food and Drink,31.414666666666665
Health,51.4525
Historical,22.83
Historical Fiction,33.64423076923077
History,37.294999999999995
Horror,35.94941176470588
Humor,33.501
Music,35.636923076923075
Mystery,31.7190625
New Adult,46.38333333333333
Nonfiction,34.26018181818182
Novels,54.81
Paranormal,15.4
Parenting,37.35
Philosophy,33.558181818181815
Poetry,35.97421052631579
Politics,53.61333333333334
Psychology,34.21857142857143
Religion,32.567142857142855
Romance,33.93371428571429
Science,33.08857142857143
Science Fiction,33.8025
Self Help,40.62
Sequential Art,34.57226666666667
Short Stories,35.88
Spirituality,35.098333333333336
Sports and Games,41.166
Suspense,58.33
Thriller,31.433636363636364
Travel,39.79454545454546
Womens Fiction,36.79117647058824
Young Adult,35.449074074074076
